reference	query	refStart	queryStart	refEnd	queryEnd	identity
gi|184156320|ref|NC_010611.1|	NODE_39_length_32824_cov_21.2868_ID_77	21565	1	2288	19307	98.53
gi|184156320|ref|NC_010611.1|	NODE_86_length_9825_cov_17.628_ID_171	128	22081	5669	27622	95.53
gi|184156320|ref|NC_010611.1|	NODE_97_length_8258_cov_21.344_ID_193	8258	31836	1	40088	98.97
gi|184156320|ref|NC_010611.1|	NODE_113_length_5251_cov_174.412_ID_225	5251	39962	1	45212	99.94
gi|184156320|ref|NC_010611.1|	NODE_76_length_14294_cov_21.1546_ID_151	14294	45358	1	59644	98.70
gi|184156320|ref|NC_010611.1|	NODE_40_length_32577_cov_18.1422_ID_79	32577	59551	8792	83355	95.03
gi|184156320|ref|NC_010611.1|	NODE_54_length_24731_cov_22.485_ID_107	949	95866	11365	106275	93.49
gi|184156320|ref|NC_010611.1|	NODE_55_length_23722_cov_25.7439_ID_109	128	131659	23595	155087	97.44
gi|184156320|ref|NC_010611.1|	NODE_75_length_15096_cov_22.5682_ID_149	14787	172503	128	187161	98.86
gi|184156320|ref|NC_010611.1|	NODE_44_length_29425_cov_22.471_ID_87	29297	187154	1	216450	98.46
gi|184156320|ref|NC_010611.1|	NODE_50_length_26522_cov_22.6022_ID_99	26522	221858	361	248018	98.58
gi|184156320|ref|NC_010611.1|	NODE_16_length_59525_cov_24.0787_ID_31	178	262070	2408	264300	96.37
gi|184156320|ref|NC_010611.1|	NODE_96_length_8489_cov_22.7235_ID_191	1	312863	8489	321351	100.00
gi|184156320|ref|NC_010611.1|	NODE_67_length_17038_cov_24.9363_ID_133	1	322251	17038	339285	99.98
gi|184156320|ref|NC_010611.1|	NODE_1_length_194827_cov_22.294_ID_1	1	339143	194827	533996	99.97
gi|184156320|ref|NC_010611.1|	NODE_83_length_10678_cov_22.3476_ID_165	10678	534035	128	544585	100.00
gi|184156320|ref|NC_010611.1|	NODE_52_length_26083_cov_23.4291_ID_103	171	544577	26083	570488	99.99
