reference	query	refStart	queryStart	refEnd	queryEnd	identity
gi|307126151|ref|NC_014498.1|	NODE_13_length_63576_cov_33.502_ID_429936	14385	1	11230	3156	99.84
gi|307126151|ref|NC_014498.1|	NODE_38_length_6701_cov_115.565_ID_454688	6701	30078	788	35991	99.71
gi|307126151|ref|NC_014498.1|	NODE_43_length_2293_cov_30.9615_ID_87894	2293	37142	1	39434	99.61
gi|307126151|ref|NC_014498.1|	NODE_20_length_40965_cov_98.5222_ID_452472	1	39455	1392	40846	97.49
gi|307126151|ref|NC_014498.1|	NODE_17_length_48866_cov_41.1719_ID_451200	48866	84930	45261	88535	99.39
gi|307126151|ref|NC_014498.1|	NODE_28_length_21448_cov_36.6783_ID_454494	1	134458	4034	138492	99.13
gi|307126151|ref|NC_014498.1|	NODE_39_length_6521_cov_35.1331_ID_451242	5394	156078	1	161479	97.19
gi|307126151|ref|NC_014498.1|	NODE_32_length_13635_cov_31.1834_ID_75356	12107	161301	13494	162782	88.08
gi|307126151|ref|NC_014498.1|	NODE_35_length_9086_cov_33.2051_ID_451658	1	161579	1210	162787	94.64
gi|307126151|ref|NC_014498.1|	NODE_42_length_2500_cov_42.8995_ID_454162	1	162273	2491	164760	97.91
gi|307126151|ref|NC_014498.1|	NODE_4_length_116084_cov_33.7966_ID_448182	1	165288	1034	166319	97.58
gi|307126151|ref|NC_014498.1|	NODE_9_length_81987_cov_30.8405_ID_453924	1	286042	10800	296832	99.28
gi|307126151|ref|NC_014498.1|	NODE_12_length_68418_cov_30.8742_ID_452608	68244	373416	66211	375455	84.49
gi|307126151|ref|NC_014498.1|	NODE_3_length_125928_cov_27.1844_ID_453956	92673	388624	91641	389655	95.45
gi|307126151|ref|NC_014498.1|	NODE_27_length_21499_cov_31.4635_ID_404650	1	459526	1627	461152	99.45
gi|307126151|ref|NC_014498.1|	NODE_23_length_34656_cov_30.0821_ID_448654	33933	483203	28771	488412	97.89
gi|307126151|ref|NC_014498.1|	NODE_41_length_2656_cov_25.2829_ID_454656	1133	538619	51	539704	98.90
gi|307126151|ref|NC_014498.1|	NODE_19_length_44439_cov_28.2466_ID_443264	43982	541900	34701	551153	99.16
gi|307126151|ref|NC_014498.1|	NODE_15_length_55505_cov_29.9371_ID_103032	124	591135	4865	595877	98.48
gi|307126151|ref|NC_014498.1|	NODE_1_length_163052_cov_28.6769_ID_454578	112	644095	2602	646595	96.64
gi|307126151|ref|NC_014498.1|	NODE_6_length_98075_cov_28.1462_ID_454106	96669	659435	97730	660495	97.46
gi|307126151|ref|NC_014498.1|	NODE_26_length_22063_cov_28.7942_ID_452294	15490	744962	4009	756456	99.26
gi|307126151|ref|NC_014498.1|	NODE_30_length_17110_cov_26.3313_ID_450234	1	1000594	5137	1005732	98.44
gi|307126151|ref|NC_014498.1|	NODE_44_length_1196_cov_49.1189_ID_446424	1196	1020188	1	1021383	99.50
gi|307126151|ref|NC_014498.1|	NODE_14_length_63134_cov_26.6852_ID_452138	63134	1021323	62042	1022427	97.39
gi|307126151|ref|NC_014498.1|	NODE_7_length_91347_cov_23.451_ID_454106	41170	1063641	39880	1064934	91.89
gi|307126151|ref|NC_014498.1|	NODE_34_length_12063_cov_26.9422_ID_453018	1	1165828	12063	1177836	99.07
gi|307126151|ref|NC_014498.1|	NODE_40_length_5779_cov_26.1277_ID_451690	5695	1242182	1	1247883	98.79
gi|307126151|ref|NC_014498.1|	NODE_18_length_45753_cov_28.2276_ID_28464	1	1248076	20205	1268269	99.47
gi|307126151|ref|NC_014498.1|	NODE_25_length_22985_cov_27.9014_ID_454578	1	1294435	22985	1317399	98.36
gi|307126151|ref|NC_014498.1|	NODE_36_length_7739_cov_27.7942_ID_145194	7739	1318030	138	1325637	97.92
gi|307126151|ref|NC_014498.1|	NODE_21_length_40696_cov_26.8334_ID_417908	59	1325592	19943	1345413	98.33
gi|307126151|ref|NC_014498.1|	NODE_24_length_25063_cov_28.6553_ID_130456	1	1389959	13250	1403211	99.35
gi|307126151|ref|NC_014498.1|	NODE_11_length_73252_cov_30.0689_ID_453266	73252	1490819	41285	1522789	98.81
gi|307126151|ref|NC_014498.1|	NODE_33_length_13030_cov_27.5502_ID_454532	209	1566902	8615	1575304	99.11
gi|307126151|ref|NC_014498.1|	NODE_5_length_114792_cov_30.3182_ID_453520	131	1580598	23553	1604036	98.88
gi|307126151|ref|NC_014498.1|	NODE_2_length_128542_cov_28.6448_ID_445946	128542	1701621	116591	1713571	99.46
gi|307126151|ref|NC_014498.1|	NODE_29_length_18893_cov_32.2687_ID_454126	1	1826411	10619	1837030	99.31
gi|307126151|ref|NC_014498.1|	NODE_8_length_85521_cov_32.3856_ID_435300	85521	1851036	73645	1862902	98.27
gi|307126151|ref|NC_014498.1|	NODE_37_length_6743_cov_33.4282_ID_452058	6743	1951844	1	1958587	98.77
gi|307126151|ref|NC_014498.1|	NODE_16_length_49121_cov_33.3993_ID_454308	49121	1958780	40280	1967627	99.20
gi|307126151|ref|NC_014498.1|	NODE_31_length_14267_cov_34.118_ID_437064	1	2053940	14034	2067974	99.06
gi|307126151|ref|NC_014498.1|	NODE_22_length_37574_cov_33.9402_ID_120338	1	2068326	34588	2102906	99.05
gi|307126151|ref|NC_014498.1|	NODE_10_length_78354_cov_33.9329_ID_410128	1	2105971	16654	2122666	98.87
