reference	query	refStart	queryStart	refEnd	queryEnd	identity
gi|184156320|ref|NC_010611.1|	NODE_17_length_41627_cov_16.8899_ID_33	30944	1	11638	19307	98.80
gi|184156320|ref|NC_010611.1|	NODE_149_length_8176_cov_16.8779_ID_297	1	31931	8176	40088	98.61
gi|184156320|ref|NC_010611.1|	NODE_95_length_14101_cov_18.4845_ID_189	14101	45396	1	59489	98.77
gi|184156320|ref|NC_010611.1|	NODE_29_length_32007_cov_17.0484_ID_57	32007	60248	1	92250	99.05
gi|184156320|ref|NC_010611.1|	NODE_46_length_26301_cov_17.3041_ID_91	1	93029	13307	106333	99.25
gi|184156320|ref|NC_010611.1|	NODE_36_length_28876_cov_17.991_ID_71	28876	120895	27006	122763	97.06
gi|184156320|ref|NC_010611.1|	NODE_278_length_1257_cov_14.7796_ID_555	1	155057	1257	156313	98.17
gi|184156320|ref|NC_010611.1|	NODE_52_length_24919_cov_19.0144_ID_103	69	156397	16252	172582	97.25
gi|184156320|ref|NC_010611.1|	NODE_281_length_1251_cov_15.9626_ID_561	69	181090	1251	182274	97.55
gi|184156320|ref|NC_010611.1|	NODE_190_length_5205_cov_20.4002_ID_379	5205	182173	1	187376	98.44
gi|184156320|ref|NC_010611.1|	NODE_235_length_2681_cov_16.937_ID_469	3	187300	1927	189224	98.91
gi|184156320|ref|NC_010611.1|	NODE_43_length_26845_cov_19.0686_ID_85	26660	189275	14540	201393	99.34
gi|184156320|ref|NC_010611.1|	NODE_45_length_26364_cov_17.8893_ID_89	26364	221829	174	248018	98.58
gi|184156320|ref|NC_010611.1|	NODE_140_length_8849_cov_20.1044_ID_279	178	262070	2408	264300	96.37
gi|184156320|ref|NC_010611.1|	NODE_259_length_1822_cov_10.2932_ID_517	607	262868	1822	264083	90.87
gi|184156320|ref|NC_010611.1|	NODE_6_length_57167_cov_18.0041_ID_11	57167	264187	1	321351	99.76
gi|184156320|ref|NC_010611.1|	NODE_78_length_16869_cov_20.9823_ID_155	16869	322251	1	339116	99.98
gi|184156320|ref|NC_010611.1|	NODE_20_length_36635_cov_17.264_ID_39	1	339782	36635	376417	99.98
gi|184156320|ref|NC_010611.1|	NODE_23_length_35076_cov_19.3296_ID_45	1	376460	35076	411534	99.99
gi|184156320|ref|NC_010611.1|	NODE_148_length_8206_cov_19.2484_ID_295	8206	411453	1	419657	99.95
gi|184156320|ref|NC_010611.1|	NODE_164_length_7221_cov_20.5383_ID_327	1	419720	7221	426940	99.97
gi|184156320|ref|NC_010611.1|	NODE_84_length_16065_cov_19.354_ID_167	16065	427101	1	443165	99.99
gi|184156320|ref|NC_010611.1|	NODE_70_length_19557_cov_18.2641_ID_139	19557	442944	1	462500	99.98
