reference	query	refStart	refEnd	queryStart	queryEnd	identity
gi|306408173|gb|CP002121.1|	NODE_33_length_22270_cov_32.2971_ID_92876	1	14385	7886	22270	99.62
gi|306408173|gb|CP002121.1|	NODE_17_length_43098_cov_48.0173_ID_30986	14948	20238	26350	31639	99.40
gi|306408173|gb|CP002121.1|	NODE_4_length_84190_cov_38.8604_ID_260624	20404	23341	83817	80880	98.74
gi|306408173|gb|CP002121.1|	NODE_14_length_48926_cov_31.2367_ID_7858	153680	161203	48867	41341	98.35
gi|306408173|gb|CP002121.1|	NODE_32_length_23437_cov_31.4531_ID_8900	202706	204157	23379	21928	98.21
gi|306408173|gb|CP002121.1|	NODE_29_length_24451_cov_35.6947_ID_256880	219230	229563	24395	14100	98.81
gi|306408173|gb|CP002121.1|	NODE_9_length_64752_cov_34.6193_ID_256680	243595	252335	64694	55953	99.38
gi|306408173|gb|CP002121.1|	NODE_20_length_34072_cov_32.3696_ID_23954	308350	309634	60	1346	98.68
gi|306408173|gb|CP002121.1|	NODE_7_length_81872_cov_37.3761_ID_260806	335067	337827	4601	1841	98.91
gi|306408173|gb|CP002121.1|	NODE_63_length_5479_cov_50.3189_ID_260706	337615	341640	5291	1266	98.76
gi|306408173|gb|CP002121.1|	NODE_49_length_12781_cov_27.9471_ID_261052	343284	345832	12498	9948	88.92
gi|306408173|gb|CP002121.1|	NODE_26_length_25951_cov_37.2066_ID_261084	358267	375820	5370	22923	98.66
gi|306408173|gb|CP002121.1|	NODE_11_length_58249_cov_33.3657_ID_261092	378886	386956	1	8068	98.43
gi|306408173|gb|CP002121.1|	NODE_8_length_71557_cov_30.4296_ID_251040	438594	464000	71557	46061	99.22
gi|306408173|gb|CP002121.1|	NODE_48_length_12865_cov_38.9573_ID_260844	504767	506185	12317	10898	97.04
gi|306408173|gb|CP002121.1|	NODE_52_length_10979_cov_32.3463_ID_64872	516909	518452	10707	9169	96.13
gi|306408173|gb|CP002121.1|	NODE_34_length_22160_cov_31.7511_ID_56244	530171	539466	128	9427	98.05
gi|306408173|gb|CP002121.1|	NODE_16_length_47651_cov_31.7518_ID_258468	552185	584195	47502	15451	98.14
gi|306408173|gb|CP002121.1|	NODE_70_length_1415_cov_87.4284_ID_83936	585881	587343	1	1415	89.84
gi|306408173|gb|CP002121.1|	NODE_3_length_85413_cov_30.667_ID_256122	600947	610832	85413	75491	97.33
gi|306408173|gb|CP002121.1|	NODE_67_length_2834_cov_29.4457_ID_255460	610832	612532	1903	200	99.24
gi|306408173|gb|CP002121.1|	NODE_46_length_14829_cov_34.0059_ID_260212	685238	695204	785	10751	99.49
gi|306408173|gb|CP002121.1|	NODE_51_length_11113_cov_31.4052_ID_257442	699053	703896	11053	6210	99.48
gi|306408173|gb|CP002121.1|	NODE_53_length_9601_cov_28.8984_ID_30986	709884	712280	9541	7145	99.21
gi|306408173|gb|CP002121.1|	NODE_24_length_30609_cov_31.1873_ID_9646	721066	732084	61	11075	99.33
gi|306408173|gb|CP002121.1|	NODE_28_length_24748_cov_32.4738_ID_260624	751482	776100	24614	1	99.12
gi|306408173|gb|CP002121.1|	NODE_18_length_41804_cov_29.2649_ID_247838	776547	788899	1	12355	99.61
gi|306408173|gb|CP002121.1|	NODE_30_length_24141_cov_31.5412_ID_246234	879582	902511	22952	1	98.02
